partition,bvid,title,pred_label,count,total,ratio
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,中性,622,1580,0.39367088607594936
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,正面,389,1580,0.24620253164556963
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,负面,569,1580,0.360126582278481
生活区,BV1Rjc4zJEvz,鸡蛋不如老弟脸硬,中性,100,257,0.38910505836575876
生活区,BV1Rjc4zJEvz,鸡蛋不如老弟脸硬,正面,76,257,0.29571984435797666
生活区,BV1Rjc4zJEvz,鸡蛋不如老弟脸硬,负面,81,257,0.3151750972762646
