partition,pred_label,count,total,ratio,previous_ratio,delta_ratio,previous_experiment
学习区,中性,622,1580,0.39367088607594936,0.1120253164556962,0.28164556962025317,round_3
学习区,正面,389,1580,0.24620253164556963,0.6291139240506329,-0.38291139240506333,round_3
学习区,负面,569,1580,0.360126582278481,0.2588607594936709,0.10126582278481011,round_3
生活区,中性,100,257,0.38910505836575876,0.1050583657587548,0.284046692607004,round_3
生活区,正面,76,257,0.29571984435797666,0.6809338521400778,-0.3852140077821012,round_3
生活区,负面,81,257,0.3151750972762646,0.2140077821011673,0.10116731517509728,round_3
