,precision,recall,f1-score,support
负面,0.375,0.6,0.46153846153846156,5.0
中性,0.9223300970873787,0.8796296296296297,0.9004739336492891,108.0
正面,0.916030534351145,0.9302325581395349,0.9230769230769231,129.0
accuracy,0.9008264462809917,0.9008264462809917,0.9008264462809917,0.9008264462809917
macro avg,0.7377868771461745,0.8032873959230549,0.7616964394215578,242.0
weighted avg,0.9076635926311347,0.9008264462809917,0.903453719912143,242.0
