partition,bvid,text,pred_label,pred_raw_label,model_confidence,prob_positive,prob_neutral,prob_negative,lexicon_score,pos_cnt,neg_cnt
学习区,BV1Kr4y1i7ru,双体软件精英产业学院打卡！！！,正面,正面,0.7754880325291663,0.7754880325291663,0.1917038275285368,0.032808139942296886,0.0,0,0
学习区,BV1Kr4y1i7ru,鲜衣怒码少年郎23/8/20打卡！！,正面,正面,0.5968283825788294,0.5968283825788294,0.3538759322649072,0.049295685156263376,0.0,0,0
学习区,BV1Kr4y1i7ru,从入门到入土,正面,中性,0.7356143655757895,0.18910189051086937,0.7356143655757895,0.07528374391334106,0.0,0,0
学习区,BV1Kr4y1i7ru,先把饼画起来,正面,中性,0.7360352719181329,0.17902949978727872,0.7360352719181329,0.08493522829458836,0.0,0,0
学习区,BV1Kr4y1i7ru,孙悟空孙悟空孙悟空孙悟空孙悟空,正面,中性,0.685642009910138,0.19088396310487057,0.685642009910138,0.12347402698499126,0.0,0,0
学习区,BV1Kr4y1i7ru,54个好兄弟,正面,中性,0.5783578487525634,0.28085372375599604,0.5783578487525634,0.14078842749144066,1.0,1,0
学习区,BV1Kr4y1i7ru,前面那个声音像孙悟空的笑死了,正面,负面,0.4103019447480095,0.40337971657769944,0.186318338674291,0.4103019447480095,1.0,1,0
学习区,BV1Kr4y1i7ru,好了，这下全村又都知道我是零基础了,正面,负面,0.9538557355298922,0.021633871021059813,0.024510393449047943,0.9538557355298922,1.0,1,0
学习区,BV1Kr4y1i7ru,本人发现资料中没有md格式笔记，就在CSDN上总结了一些笔记，希望可以帮到大家！（博主：Purse Wind）❀,正面,负面,0.7542713040843164,0.2425004133372481,0.0032282825784355393,0.7542713040843164,2.0,2,0
学习区,BV1Kr4y1i7ru,发型很正确,正面,正面,0.7218064878047886,0.7218064878047886,0.2615640315668486,0.016629480628362794,2.5,2,0
学习区,BV1Kr4y1i7ru,越听越像孙悟空,正面,中性,0.685642009910138,0.19088396310487057,0.685642009910138,0.12347402698499126,0.0,0,0
学习区,BV1Kr4y1i7ru,从删库到跑路,正面,中性,0.7028986216506214,0.20671932937162096,0.7028986216506214,0.09038204897775746,0.0,0,0
学习区,BV1Kr4y1i7ru,孙悟空！,正面,中性,0.6663609425617963,0.28886219081009534,0.6663609425617963,0.04477686662810841,0.0,0,0
学习区,BV1Kr4y1i7ru,从入门到放弃,正面,中性,0.7356143655757895,0.18910189051086937,0.7356143655757895,0.07528374391334106,0.0,0,0
