model,accuracy,f1
逻辑回归,0.9008264462809917,0.7616964394215578
SVM,0.9173553719008265,0.7270131218729349
随机森林,0.8677685950413223,0.5839518767369051
朴素贝叶斯,0.8636363636363636,0.5802719394952405
