partition,pred_label,count,total,ratio,previous_ratio,delta_ratio,previous_experiment
学习区,中性,315,1580,0.19936708860759494,0.4791139240506329,-0.27974683544303797,round_1
学习区,正面,412,1580,0.2607594936708861,0.2455696202531645,0.015189873417721572,round_1
学习区,负面,853,1580,0.539873417721519,0.2753164556962025,0.2645569620253165,round_1
生活区,中性,29,257,0.11284046692607004,0.4474708171206226,-0.33463035019455256,round_1
生活区,正面,76,257,0.29571984435797666,0.3229571984435798,-0.027237354085603127,round_1
生活区,负面,152,257,0.5914396887159533,0.2295719844357976,0.3618677042801557,round_1
