model,accuracy,f1
逻辑回归,0.8893129770992366,0.6012608353033885
SVM,0.8854961832061069,0.5974025974025974
随机森林,0.8740458015267175,0.5905543731630688
朴素贝叶斯,0.8549618320610687,0.574233480898508
