,precision,recall,f1-score,support
负面,0.0,0.0,0.0,6.0
中性,0.8813559322033898,0.896551724137931,0.8888888888888888,116.0
正面,0.9084507042253521,0.9214285714285714,0.9148936170212766,140.0
accuracy,0.8893129770992366,0.8893129770992366,0.8893129770992366,0.8893129770992366
macro avg,0.596602212142914,0.6059934318555008,0.6012608353033885,262.0
weighted avg,0.8756503310196279,0.8893129770992366,0.8824283110461443,262.0
