partition,pred_label,count,total,ratio
学习区,中性,315,1580,0.19936708860759494
学习区,正面,412,1580,0.2607594936708861
学习区,负面,853,1580,0.539873417721519
生活区,中性,29,257,0.11284046692607004
生活区,正面,76,257,0.29571984435797666
生活区,负面,152,257,0.5914396887159533
