,precision,recall,f1-score,support
负面,0.16666666666666666,0.3333333333333333,0.2222222222222222,3.0
中性,0.912621359223301,0.8867924528301887,0.8995215311004785,106.0
正面,0.923728813559322,0.923728813559322,0.923728813559322,118.0
accuracy,0.8986784140969163,0.8986784140969163,0.8986784140969163,0.8986784140969163
macro avg,0.66767227981643,0.7146181999076147,0.6818241889606741,227.0
weighted avg,0.9085368461571361,0.8986784140969163,0.9031539601908255,227.0
