partition,pred_label,count,total,ratio
学习区,中性,151,1580,0.09556962025316455
学习区,正面,1043,1580,0.660126582278481
学习区,负面,386,1580,0.24430379746835443
生活区,中性,9,257,0.03501945525291829
生活区,正面,188,257,0.7315175097276264
生活区,负面,60,257,0.23346303501945526
