partition,pred_label,count,mean_confidence,mean_positive_prob,mean_neutral_prob,mean_negative_prob,mean_lexicon_score
学习区,中性,151,0.7844635371683195,0.11249640712794153,0.7844635371683195,0.10304005570373903,0.0
学习区,正面,1043,0.6316028317110309,0.2879056274437604,0.5429406690758974,0.1691537034803422,0.41725790987535955
学习区,负面,386,0.5988641257292036,0.16380932789020408,0.48883039905326225,0.34736027305653366,-0.3204663212435233
生活区,中性,9,0.7259502106865866,0.13623219329981148,0.7259502106865866,0.13781759601360197,0.0
生活区,正面,188,0.6588428595206605,0.32148766357382214,0.5340379677540157,0.14447436867216215,0.9712765957446808
生活区,负面,60,0.5928908102850748,0.1564089935077537,0.500687973280993,0.3429030332112533,-0.2833333333333333
