partition,bvid,text,pred_label,pred_raw_label,model_confidence,prob_positive,prob_neutral,prob_negative,lexicon_score,pos_cnt,neg_cnt
学习区,BV1Kr4y1i7ru,112个兄弟暑假卷,中性,中性,0.7807332293378443,0.12314706371894064,0.7807332293378443,0.09611970694321514,0.0,0,0
学习区,BV1Kr4y1i7ru,钟神别卷了,中性,中性,0.7889753794029637,0.10605574982787025,0.7889753794029637,0.10496887076916608,0.0,0,0
学习区,BV1Kr4y1i7ru,84个卷王,中性,中性,0.7618974960413463,0.1369264341775384,0.7618974960413463,0.10117606978111542,0.0,0,0
学习区,BV1Kr4y1i7ru,最后一课见,中性,中性,0.860814542362629,0.060475131566800025,0.860814542362629,0.07871032607057112,0.0,0,0
学习区,BV1Kr4y1i7ru,My SQL和SQL server一样吗,中性,中性,0.7544110115592986,0.1604591643859754,0.7544110115592986,0.085129824054726,0.0,0,0
学习区,BV1Kr4y1i7ru,嘿吗成旭员,中性,中性,0.8372806569934551,0.0768137658557125,0.8372806569934551,0.0859055771508325,0.0,0,0
学习区,BV1Kr4y1i7ru,蔡徐坤实名学习,中性,中性,0.7350258675878093,0.1660775042818556,0.7350258675878093,0.09889662813033491,0.0,0,0
学习区,BV1Kr4y1i7ru,面试造航母,中性,中性,0.7537365643395904,0.12643841384569365,0.7537365643395904,0.11982502181471608,0.0,0,0
学习区,BV1Kr4y1i7ru,71个卷王,中性,中性,0.8310864765305334,0.08447236803514815,0.8310864765305334,0.08444115543431853,0.0,0,0
学习区,BV1Kr4y1i7ru,时崎狂三打卡,中性,中性,0.6923232359530536,0.1743334244435495,0.6923232359530536,0.1333433396033969,0.0,0,0
学习区,BV1Kr4y1i7ru,致死量弹幕,中性,中性,0.7212752261079958,0.155099620527853,0.7212752261079958,0.12362515336415132,0.0,0,0
学习区,BV1Kr4y1i7ru,最后一节课见,中性,中性,0.860814542362629,0.060475131566800025,0.860814542362629,0.07871032607057112,0.0,0,0
学习区,BV1Kr4y1i7ru,李宗恒实名学习,中性,中性,0.7640633420998297,0.14614235004226175,0.7640633420998297,0.08979430785790853,0.0,0,0
学习区,BV1Kr4y1i7ru,102个兄弟,中性,中性,0.7962029833967098,0.11779040823573357,0.7962029833967098,0.08600660836755655,0.0,0,0
学习区,BV1Kr4y1i7ru,99岁程序员来复习下,中性,中性,0.7098642259955987,0.15318717244316124,0.7098642259955987,0.13694860156124003,0.0,0,0
学习区,BV1Kr4y1i7ru,我在最后一集等你们,中性,中性,0.82372904232668,0.062202016061191835,0.82372904232668,0.11406894161212804,0.0,0,0
学习区,BV1Kr4y1i7ru,土木老哥来了,中性,中性,0.7767597877530519,0.11994220537676932,0.7767597877530519,0.10329800687017889,0.0,0,0
学习区,BV1Kr4y1i7ru,最后一集见,中性,中性,0.860814542362629,0.060475131566800025,0.860814542362629,0.07871032607057112,0.0,0,0
学习区,BV1Kr4y1i7ru,还有78个哥们在卷,中性,中性,0.7758025590001595,0.12513217101435742,0.7758025590001595,0.09906526998548315,0.0,0,0
学习区,BV1Kr4y1i7ru,土木工程来加个技能,中性,中性,0.7655069300106031,0.12545043710798487,0.7655069300106031,0.109042632881412,0.0,0,0
学习区,BV1Kr4y1i7ru,孙悟空在讲课吗,中性,中性,0.7845885108163863,0.1101062064921467,0.7845885108163863,0.10530528269146694,0.0,0,0
学习区,BV1Kr4y1i7ru,有23年学习的吗,中性,中性,0.7138656305164506,0.09687614521544655,0.7138656305164506,0.18925822426810296,0.0,0,0
学习区,BV1Kr4y1i7ru,网络工程的来了,中性,中性,0.7496631061469503,0.1126646731757332,0.7496631061469503,0.1376722206773165,0.0,0,0
学习区,BV1Kr4y1i7ru,网工来卷,中性,中性,0.808416354026295,0.09346044232789545,0.808416354026295,0.09812320364580959,0.0,0,0
学习区,BV1Kr4y1i7ru,千峰路过,中性,中性,0.7412085334006807,0.13171459981398864,0.7412085334006807,0.12707686678533053,0.0,0,0
学习区,BV1Kr4y1i7ru,实施工程师,中性,中性,0.7523802193941308,0.12667176636724894,0.7523802193941308,0.12094801423862034,0.0,0,0
学习区,BV1Kr4y1i7ru,被迫来学习,中性,中性,0.8131796849900372,0.11152134712585275,0.8131796849900372,0.07529896788411003,0.0,0,0
学习区,BV1Kr4y1i7ru,那么多人在看,中性,中性,0.770798799947011,0.1166245088070587,0.770798799947011,0.11257669124593046,0.0,0,0
学习区,BV1Kr4y1i7ru,前端来咯,中性,中性,0.7916738090732601,0.10982668272098046,0.7916738090732601,0.09849950820575956,0.0,0,0
学习区,BV1Kr4y1i7ru,弹幕呢,中性,中性,0.7508969281057206,0.1366874318199753,0.7508969281057206,0.11241564007430406,0.0,0,0
学习区,BV1Kr4y1i7ru,108个人在卷,中性,中性,0.7628345564565265,0.12025350547173874,0.7628345564565265,0.11691193807173478,0.0,0,0
学习区,BV1Kr4y1i7ru,2022/8/15路过,中性,中性,0.7412085334006807,0.13171459981398864,0.7412085334006807,0.12707686678533053,0.0,0,0
学习区,BV1Kr4y1i7ru,江哥来打卡了,中性,中性,0.7163972646974391,0.16994346224283613,0.7163972646974391,0.11365927305972463,0.0,0,0
学习区,BV1Kr4y1i7ru,69个,中性,中性,0.8199502754476405,0.10268622275668482,0.8199502754476405,0.07736350179567462,0.0,0,0
学习区,BV1Kr4y1i7ru,70人在卷,中性,中性,0.766491292997965,0.1197953507724882,0.766491292997965,0.11371335622954681,0.0,0,0
学习区,BV1Kr4y1i7ru,108个好汉,中性,中性,0.7962029833967098,0.11779040823573357,0.7962029833967098,0.08600660836755655,0.0,0,0
学习区,BV1Kr4y1i7ru,66个卷王阿,中性,中性,0.7807332293378443,0.12314706371894064,0.7807332293378443,0.09611970694321514,0.0,0,0
学习区,BV1Kr4y1i7ru,71人,中性,中性,0.7879245175939028,0.0961483215677799,0.7879245175939028,0.11592716083831732,0.0,0,0
学习区,BV1Kr4y1i7ru,71..,中性,中性,0.8065145131472284,0.08029444189794012,0.8065145131472284,0.11319104495483143,0.0,0,0
学习区,BV1Kr4y1i7ru,来了来了,中性,中性,0.8020071817177492,0.10483398368015681,0.8020071817177492,0.09315883460209397,0.0,0,0
学习区,BV1Kr4y1i7ru,吴鑫鑫到此一游,中性,中性,0.7086265073342264,0.14895664266140365,0.7086265073342264,0.14241685000437002,0.0,0,0
学习区,BV1Kr4y1i7ru,高中生学习中,中性,中性,0.7813891020226026,0.12615733784237163,0.7813891020226026,0.0924535601350257,0.0,0,0
学习区,BV1Kr4y1i7ru,有ppt吗,中性,中性,0.7761065943523902,0.06309534386599039,0.7761065943523902,0.16079806178161946,0.0,0,0
学习区,BV1Kr4y1i7ru,71,中性,中性,0.8285941744031863,0.06983187593937303,0.8285941744031863,0.10157394965744068,0.0,0,0
学习区,BV1Kr4y1i7ru,1111,中性,中性,0.8040066452461697,0.08792128359311031,0.8040066452461697,0.10807207116072017,0.0,0,0
学习区,BV1Kr4y1i7ru,北林复试来了,中性,中性,0.7492534946575106,0.13667073699984073,0.7492534946575106,0.11407576834264858,0.0,0,0
学习区,BV1Kr4y1i7ru,SQL语句,中性,中性,0.7603812847775495,0.15130425797739103,0.7603812847775495,0.0883144572450594,0.0,0,0
学习区,BV1Kr4y1i7ru,江西师范大学黄凯在线学习,中性,中性,0.7350258675878093,0.1660775042818556,0.7350258675878093,0.09889662813033491,0.0,0,0
学习区,BV1Kr4y1i7ru,开塞开始卷了,中性,中性,0.7749011024509945,0.11369887758400615,0.7749011024509945,0.11140001996499936,0.0,0,0
学习区,BV1Kr4y1i7ru,“正”在学习打卡,中性,中性,0.7093690975324802,0.1932761324307702,0.7093690975324802,0.0973547700367496,0.0,0,0
学习区,BV1Kr4y1i7ru,大一来得急吗,中性,中性,0.8157668663660482,0.08840880583304692,0.8157668663660482,0.09582432780090502,0.0,0,0
学习区,BV1Kr4y1i7ru,96个人,中性,中性,0.755501595400674,0.11674559719807037,0.755501595400674,0.12775280740125566,0.0,0,0
学习区,BV1Kr4y1i7ru,68个卷,中性,中性,0.8285290114963122,0.09364965677794178,0.8285290114963122,0.07782133172574598,0.0,0,0
学习区,BV1Kr4y1i7ru,大三财务来了,中性,中性,0.7767597877530519,0.11994220537676932,0.7767597877530519,0.10329800687017889,0.0,0,0
学习区,BV1Kr4y1i7ru,经统的来了,中性,中性,0.7496631061469503,0.1126646731757332,0.7496631061469503,0.1376722206773165,0.0,0,0
学习区,BV1Kr4y1i7ru,这么卷,中性,中性,0.7889155449637846,0.10760840445624559,0.7889155449637846,0.10347605057996977,0.0,0,0
学习区,BV1Kr4y1i7ru,我嘞个豆豆,中性,中性,0.8088603560255461,0.07944873958140414,0.8088603560255461,0.11169090439304968,0.0,0,0
学习区,BV1Kr4y1i7ru,1,中性,中性,0.7547897842117876,0.12141302828118433,0.7547897842117876,0.12379718750702824,0.0,0,0
学习区,BV1Kr4y1i7ru,人大新传路过,中性,中性,0.7111339530712422,0.14928163538952402,0.7111339530712422,0.1395844115392338,0.0,0,0
学习区,BV1Kr4y1i7ru,实名开卷吗孩子们,中性,中性,0.7965257685199704,0.1012426902446028,0.7965257685199704,0.10223154123542685,0.0,0,0
学习区,BV1Kr4y1i7ru,zlr到此一游,中性,中性,0.7086265073342264,0.14895664266140365,0.7086265073342264,0.14241685000437002,0.0,0,0
学习区,BV1Kr4y1i7ru,徐伟在警校打卡学习,中性,中性,0.7080983154117115,0.18430142016245804,0.7080983154117115,0.1076002644258304,0.0,0,0
学习区,BV1Kr4y1i7ru,有财务吗,中性,中性,0.7761065943523902,0.06309534386599039,0.7761065943523902,0.16079806178161946,0.0,0,0
学习区,BV1Kr4y1i7ru,20250413报到,中性,中性,0.7086265073342264,0.14895664266140365,0.7086265073342264,0.14241685000437002,0.0,0,0
学习区,BV1Kr4y1i7ru,好多人,中性,中性,0.771517090064914,0.11617273031703698,0.771517090064914,0.11231017961804907,0.0,0,0
学习区,BV1Kr4y1i7ru,2025年打卡,中性,中性,0.694532130809253,0.16620308198019096,0.694532130809253,0.1392647872105559,0.0,0,0
学习区,BV1Kr4y1i7ru,正片开始,中性,中性,0.7614022425016455,0.11931962014294296,0.7614022425016455,0.11927813735541162,0.0,0,0
学习区,BV1Kr4y1i7ru,坚持第一天,中性,中性,0.7086265073342264,0.14895664266140365,0.7086265073342264,0.14241685000437002,0.0,0,0
学习区,BV1Kr4y1i7ru,英语吗,中性,中性,0.8566934096034214,0.06653221181383123,0.8566934096034214,0.07677437858274738,0.0,0,0
学习区,BV1Kr4y1i7ru,78人在卷,中性,中性,0.7747150926709148,0.11737975141317433,0.7747150926709148,0.107905155915911,0.0,0,0
学习区,BV1Kr4y1i7ru,救命,中性,中性,0.7611986664925701,0.12987613072114398,0.7611986664925701,0.10892520278628597,0.0,0,0
学习区,BV1Kr4y1i7ru,3.11  第一天学习,中性,中性,0.7640633420998297,0.14614235004226175,0.7640633420998297,0.08979430785790853,0.0,0,0
学习区,BV1Kr4y1i7ru,卷起来,中性,中性,0.808416354026295,0.09346044232789545,0.808416354026295,0.09812320364580959,0.0,0,0
学习区,BV1Kr4y1i7ru,不加能学吗,中性,中性,0.8372806569934551,0.0768137658557125,0.8372806569934551,0.0859055771508325,0.0,0,0
