model,accuracy,f1
SVM,0.8986784140969163,0.6818241889606741
逻辑回归,0.8986784140969163,0.6671335200746965
朴素贝叶斯,0.8722466960352423,0.5848207171314741
随机森林,0.8678414096916299,0.5834078845350987
