partition,pred_label,count,total,ratio,previous_ratio,delta_ratio,previous_experiment
学习区,中性,151,1580,0.09556962025316455,0.6462025316455696,-0.5506329113924051,round_1
学习区,正面,1043,1580,0.660126582278481,0.3069620253164557,0.35316455696202526,round_1
学习区,负面,386,1580,0.24430379746835443,0.0468354430379746,0.19746835443037983,round_1
生活区,中性,9,257,0.03501945525291829,0.6770428015564203,-0.642023346303502,round_1
生活区,正面,188,257,0.7315175097276264,0.2918287937743191,0.43968871595330733,round_1
生活区,负面,60,257,0.23346303501945526,0.0311284046692607,0.20233463035019456,round_1
