partition,bvid,title,pred_label,count,total,ratio
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,中性,177,1580,0.1120253164556962
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,正面,994,1580,0.6291139240506329
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,负面,409,1580,0.2588607594936709
生活区,BV1Rjc4zJEvz,鸡蛋不如老弟脸硬,中性,27,257,0.10505836575875487
生活区,BV1Rjc4zJEvz,鸡蛋不如老弟脸硬,正面,175,257,0.6809338521400778
生活区,BV1Rjc4zJEvz,鸡蛋不如老弟脸硬,负面,55,257,0.2140077821011673
