,precision,recall,f1-score,support
负面,0.5,0.25,0.3333333333333333,4.0
中性,0.9345794392523364,0.9345794392523364,0.9345794392523364,107.0
正面,0.937984496124031,0.952755905511811,0.9453125,127.0
accuracy,0.9327731092436975,0.9327731092436975,0.9327731092436975,0.9327731092436975
macro avg,0.7908546451254558,0.7124451149213825,0.7377417575285566,238.0
weighted avg,0.9290925672594619,0.9327731092436975,0.9302017682072828,238.0
