model,accuracy,f1
SVM,0.9327731092436975,0.7377417575285566
逻辑回归,0.9327731092436975,0.7233313072881735
随机森林,0.8781512605042017,0.5897867462974693
朴素贝叶斯,0.8697478991596639,0.5831120552310143
