partition,pred_label,count,total,ratio
学习区,中性,177,1580,0.1120253164556962
学习区,正面,994,1580,0.6291139240506329
学习区,负面,409,1580,0.2588607594936709
生活区,中性,27,257,0.10505836575875487
生活区,正面,175,257,0.6809338521400778
生活区,负面,55,257,0.2140077821011673
