partition,pred_label,count,total,ratio,previous_ratio,delta_ratio,previous_experiment
学习区,中性,177,1580,0.1120253164556962,0.0955696202531645,0.016455696202531706,round_2
学习区,正面,994,1580,0.6291139240506329,0.660126582278481,-0.031012658227848044,round_2
学习区,负面,409,1580,0.2588607594936709,0.2443037974683544,0.014556962025316478,round_2
生活区,中性,27,257,0.10505836575875487,0.0350194552529182,0.07003891050583666,round_2
生活区,正面,175,257,0.6809338521400778,0.7315175097276264,-0.05058365758754857,round_2
生活区,负面,55,257,0.2140077821011673,0.2334630350194552,-0.019455252918287896,round_2
