partition,bvid,title,pred_label,count,total,ratio
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,中性,440,1580,0.27848101265822783
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,正面,464,1580,0.2936708860759494
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,负面,676,1580,0.4278481012658228
生活区,BV1Rjc4zJEvz,鸡蛋不如老弟脸硬,中性,51,257,0.19844357976653695
生活区,BV1Rjc4zJEvz,鸡蛋不如老弟脸硬,正面,102,257,0.3968871595330739
生活区,BV1Rjc4zJEvz,鸡蛋不如老弟脸硬,负面,104,257,0.4046692607003891
