,precision,recall,f1-score,support
负面,0.23529411764705882,0.4,0.2962962962962963,10.0
中性,0.8359375,0.8629032258064516,0.8492063492063492,124.0
正面,0.9242424242424242,0.8531468531468531,0.8872727272727273,143.0
accuracy,0.8411552346570397,0.8411552346570397,0.8411552346570397,0.8411552346570397
macro avg,0.6651580139631611,0.7053500263177682,0.6775917909251242,277.0
weighted avg,0.8598406420329864,0.8411552346570397,0.8488972933738277,277.0
