partition,pred_label,count,total,ratio
学习区,中性,440,1580,0.27848101265822783
学习区,正面,464,1580,0.2936708860759494
学习区,负面,676,1580,0.4278481012658228
生活区,中性,51,257,0.19844357976653695
生活区,正面,102,257,0.3968871595330739
生活区,负面,104,257,0.4046692607003891
