model,accuracy,f1
逻辑回归,0.8411552346570397,0.6775917909251242
SVM,0.8628158844765343,0.6604674073561139
随机森林,0.851985559566787,0.5793102187111404
朴素贝叶斯,0.8158844765342961,0.5516772355482032
