partition,pred_label,count,total,ratio
学习区,中性,1021,1580,0.6462025316455696
学习区,正面,485,1580,0.3069620253164557
学习区,负面,74,1580,0.04683544303797468
生活区,中性,174,257,0.6770428015564203
生活区,正面,75,257,0.2918287937743191
生活区,负面,8,257,0.0311284046692607
