model,accuracy,f1
逻辑回归,0.943127962085308,0.9430652995143012
SVM,0.9383886255924171,0.9383387658761381
随机森林,0.9241706161137441,0.923963963963964
朴素贝叶斯,0.8815165876777251,0.8806480077833336
