partition,bvid,title,pred_label,count,total,ratio
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,中性,1021,1580,0.6462025316455696
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,正面,485,1580,0.3069620253164557
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,负面,74,1580,0.04683544303797468
生活区,BV1Rjc4zJEvz,鸡蛋不如老弟脸硬,中性,174,257,0.6770428015564203
生活区,BV1Rjc4zJEvz,鸡蛋不如老弟脸硬,正面,75,257,0.2918287937743191
生活区,BV1Rjc4zJEvz,鸡蛋不如老弟脸硬,负面,8,257,0.0311284046692607
