,precision,recall,f1-score,support
负面,0.0,0.0,0.0,0.0
中性,0.9320388349514563,0.9504950495049505,0.9411764705882353,101.0
正面,0.9537037037037037,0.9363636363636364,0.944954128440367,110.0
accuracy,0.943127962085308,0.943127962085308,0.943127962085308,0.943127962085308
macro avg,0.6285808462183867,0.628952895289529,0.6287101996762008,211.0
weighted avg,0.9433333162914905,0.943127962085308,0.9431458656770244,211.0
