partition,bvid,title,pred_label,count,total,ratio
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,中性,757,1580,0.4791139240506329
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,正面,388,1580,0.24556962025316456
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,负面,435,1580,0.27531645569620256
生活区,BV1Rjc4zJEvz,鸡蛋不如老弟脸硬,中性,115,257,0.4474708171206226
生活区,BV1Rjc4zJEvz,鸡蛋不如老弟脸硬,正面,83,257,0.3229571984435798
生活区,BV1Rjc4zJEvz,鸡蛋不如老弟脸硬,负面,59,257,0.22957198443579765
