partition,pred_label,count,total,ratio
学习区,中性,757,1580,0.4791139240506329
学习区,正面,388,1580,0.24556962025316456
学习区,负面,435,1580,0.27531645569620256
生活区,中性,115,257,0.4474708171206226
生活区,正面,83,257,0.3229571984435798
生活区,负面,59,257,0.22957198443579765
