,precision,recall,f1-score,support
负面,0.5,0.4,0.4444444444444444,5.0
中性,0.9142857142857143,0.8888888888888888,0.9014084507042254,108.0
正面,0.9172932330827067,0.9457364341085271,0.9312977099236641,129.0
accuracy,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
macro avg,0.7771929824561403,0.7448751076658052,0.759050201690778,242.0
weighted avg,0.907329273597216,0.9090909090909091,0.9078997499108729,242.0
