model,accuracy,f1
逻辑回归,0.9090909090909091,0.759050201690778
SVM,0.9090909090909091,0.612786745964316
随机森林,0.8925619834710744,0.6002743870264186
朴素贝叶斯,0.859504132231405,0.5771162038028604
