partition,pred_label,count,mean_confidence,mean_positive_prob,mean_neutral_prob,mean_negative_prob,mean_lexicon_score
学习区,中性,757,0.81227369434249,0.12598287562227192,0.8057881708127778,0.06822895356495035,0.042932628797886396
学习区,正面,388,0.6701469723949404,0.3987911283624797,0.45494838615074656,0.14626048548677373,0.8801546391752577
学习区,负面,435,0.659461061836356,0.11672492703478239,0.4486559001641546,0.43461917280106305,-0.14367816091954022
生活区,中性,115,0.8251080929536556,0.11753269055494457,0.8235670386741633,0.05890027077089221,0.017391304347826087
生活区,正面,83,0.7402814817588341,0.5073668530547343,0.37871806435157457,0.11391508259369121,2.1156626506024097
生活区,负面,59,0.6311230207259063,0.09528570418053607,0.4920399575058394,0.4126743383136246,-0.2033898305084746
