partition,bvid,title,pred_label,count,total,ratio
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,中性,387,1580,0.2449367088607595
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,正面,505,1580,0.31962025316455694
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,负面,688,1580,0.43544303797468353
生活区,BV1Rjc4zJEvz,鸡蛋不如老弟脸硬,中性,23,257,0.08949416342412451
生活区,BV1Rjc4zJEvz,鸡蛋不如老弟脸硬,正面,114,257,0.44357976653696496
生活区,BV1Rjc4zJEvz,鸡蛋不如老弟脸硬,负面,120,257,0.4669260700389105
