partition,pred_label,count,total,ratio,previous_ratio,delta_ratio,previous_experiment
学习区,中性,387,1580,0.2449367088607595,0.2784810126582278,-0.03354430379746828,round_3
学习区,正面,505,1580,0.31962025316455694,0.2936708860759494,0.025949367088607567,round_3
学习区,负面,688,1580,0.43544303797468353,0.4278481012658228,0.0075949367088607445,round_3
生活区,中性,23,257,0.08949416342412451,0.1984435797665369,-0.10894941634241238,round_3
生活区,正面,114,257,0.44357976653696496,0.3968871595330739,0.04669260700389105,round_3
生活区,负面,120,257,0.4669260700389105,0.4046692607003891,0.0622568093385214,round_3
