,precision,recall,f1-score,support
负面,0.5714285714285714,0.36363636363636365,0.4444444444444444,11.0
中性,0.8582677165354331,0.8650793650793651,0.8616600790513834,126.0
正面,0.87248322147651,0.8904109589041096,0.8813559322033898,146.0
accuracy,0.8586572438162544,0.8586572438162544,0.8586572438162544,0.8586572438162544
macro avg,0.7673931698135048,0.7063755625399462,0.7291534852330726,283.0
weighted avg,0.8544522858825065,0.8586572438162544,0.8556043284489686,283.0
