model,accuracy,f1
SVM,0.8586572438162544,0.7291534852330726
逻辑回归,0.8445229681978799,0.7280458022782158
随机森林,0.8586572438162544,0.6292036206830488
朴素贝叶斯,0.8091872791519434,0.5481481481481482
