partition,pred_label,count,total,ratio
学习区,中性,387,1580,0.2449367088607595
学习区,正面,505,1580,0.31962025316455694
学习区,负面,688,1580,0.43544303797468353
生活区,中性,23,257,0.08949416342412451
生活区,正面,114,257,0.44357976653696496
生活区,负面,120,257,0.4669260700389105
